committee_name,total,employer
CORY 2020,37981.67,STANFORD UNIVERSITY
CORY 2020,19662.26,COLUMBIA UNIVERSITY
CORY 2020,10036.38,RUTGERS UNIVERSITY
CORY 2020,6100,EASTWICK COLLEGE
CORY 2020,5800,NEW YORK UNIVERSITY
CORY 2020,5600,BERKELEY COLLEGE
CORY 2020,4488.22,UNIVERSITY OF WASHINGTON
CORY 2020,4300,UNIVERSITY OF KANSAS
CORY 2020,4200,NYU SCHOOL OF MEDICINE
CORY 2020,3730.62,MIT
