Political Party,Candidate Name,Committee Name,Total = F:F+G:G,Columbia Total #,Columbia Total Amount
Democratic Party,Bernie Sanders,BERNIE 2020 (C00696948),15935.10,275,15935.1
Democratic Party,Elizabeth Warren,"WARREN FOR PRESIDENT, INC. (C00693234)",14615.52,173,14615.52
Democratic Party,Pete Buttigieg,"PETE FOR AMERICA, INC. (C00697441)",12232.60,91,12232.6
Democratic Party,Beto O'Rourke,BETO FOR AMERICA (C00699090),7270,47,7270
Democratic Party,Kamala Harris,KAMALA HARRIS FOR THE PEOPLE (C00694455),9091.75,46,9091.75
Republican Party,Donald Trump,"DONALD J. TRUMP FOR PRESIDENT, INC. (C00580100)",6549.12,15,6549.12
