committee_name,total,employer
BERNIE 2020,17367.17,UNIVERSITY OF MICHIGAN
BERNIE 2020,16680.81,HARVARD UNIVERSITY
BERNIE 2020,15286.64,UCLA
BERNIE 2020,13860.17,UNIVERSITY OF CHICAGO
BERNIE 2020,13811.39,UNIVERSITY OF WASHINGTON
BERNIE 2020,13634.51,UC BERKELEY
BERNIE 2020,12559,UNIVERSITY OF CALIFORNIA
BERNIE 2020,12460.38,COLUMBIA UNIVERSITY
BERNIE 2020,10366.96,STANFORD UNIVERSITY
BERNIE 2020,10248.1,UNIVERSITY OF ILLINOIS
